,연도,분류,학제,학교명,학교상태,본분교,시도,시군구,설립,주야구분,주소,학과수_전체,지원자_전체_계,입학자_전체_계,재적생_전체_계,재학생_전체_계,유예생_전체_계,휴학생_전체_계,외국인유학생_학사_계,전임교원_계,비전임교원_계,시간강사_계,직원_계,경도,위도,입학정원,모집인원_정원내,지원자_정원내,입학자_정원내,신입생_충원율
10,2020,university,대학교,목포해양대학교,기존,본교,전남,전남 목포시,국립,주간,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교)",16,2966,738,3088,2548,7,533,9,123,90,0,208,126.3616178,34.79834324,691.0,694.0,2822.0,692.0,99.7
11,2020,university,대학교,부경대학교,기존,본교,부산,부산 남구,국립,주야간,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",102,25201,3680,22365,16094,259,6012,826,585,837,0,596,129.1038082,35.1354245,3270.0,3273.0,23588.0,3265.0,99.8
12,2020,university,대학교,부산대학교,기존,본교,부산,부산 금정구,국립,주간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",108,47263,4516,28124,20502,408,7214,531,1139,1719,0,511,129.0833278,35.23036189,4181.0,4190.0,44843.0,4185.0,99.9
13,2020,university,대학교,서울대학교,기존,본교,서울,서울 관악구,국립대법인,주간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",128,21379,3378,21404,16608,0,4796,226,1692,2863,0,1674,126.9502884,37.45425061,3130.0,3134.0,19760.0,3129.0,99.8
14,2020,university,대학교,순천대학교,기존,본교,전남,전남 순천시,국립,주야간,"전라남도 순천시 중앙로 255 (석현동, 순천대학교)",77,9090,1748,9545,6988,45,2512,132,324,386,0,284,127.48368549999999,34.96757963,1588.0,1595.0,8512.0,1585.0,99.4
15,2020,university,대학교,안동대학교,기존,본교,경북,경북 안동시,국립,주간,"경상북도 안동시 경동로 1375 (송천동, 안동대학교)",58,7698,1537,8608,5862,73,2673,29,267,324,0,272,128.7963541,36.54551968,1456.0,1461.0,7219.0,1459.0,99.9
16,2020,university,대학교,전남대학교,기존,본교,광주,광주 북구,국립,주간,"광주광역시 북구 용봉로 77 (용봉동, 전남대학교)",103,22350,3466,22366,16381,289,5696,835,985,1156,0,603,126.9015827,35.17651747,3188.0,3192.0,20940.0,3191.0,100.0
17,2020,university,대학교,전남대학교 _제2캠퍼스,기존,제2캠퍼스,전남,전남 여수시,국립,주간,"전라남도 여수시 대학로 50 (둔덕동, 전남대학교여수캠퍼스)",32,4534,829,4136,2704,17,1415,73,153,123,0,174,127.7003428,34.7762612,702.0,706.0,4070.0,704.0,99.7
18,2020,university,대학교,전북대학교,기존,본교,전북,전북 전주시,국립,주간,"전라북도 전주시 덕진구 백제대로 567 (금암동, 전북대학교)",164,25891,4169,25129,18364,225,6540,729,997,1497,0,662,127.1325381,35.84660195,3788.0,3809.0,24461.0,3798.0,99.7
19,2020,university,대학교,제주대학교,기존,본교,제주,제주 제주시,국립,주야간,"제주특별자치도 제주시 제주대학로 102 (아라일동, 제주대학교)",106,12718,2296,14227,9939,50,4238,331,452,785,0,445,126.5567759,33.45174268,2080.0,2086.0,12112.0,2082.0,99.8
